Dataset,Equal,ProvenanceEmphasis,EvalReadinessEmphasis
NSL-KDD,3.805,3.6761999999999997,3.5962000000000005
KDD'99,4.083333333333334,3.91,3.8300000000000005
DARPA99,4.013333333333334,3.8511999999999995,3.9712000000000005
CICIDS2017,4.458333333333334,4.225,4.345000000000001
DNS Data,3.638333333333334,3.8561999999999994,3.4562000000000004
CIC Modbus 2023,3.9166666666666674,3.7699999999999996,3.6900000000000004
LITNET-2020,3.805000000000001,3.9962,3.5962000000000005
Kyoto 2006+,4.346666666666668,4.2912,4.251200000000001
ISCX2012,3.471666666666667,3.3961999999999994,3.3162000000000003
DEFCON,3.5133333333333336,3.2711999999999994,3.5512000000000006
UNSW-NB15,4.458333333333334,4.225,4.345000000000001
Bot-IoT,3.638333333333334,3.5362,3.4562000000000004
ToN-IoT,4.25,4.05,3.9700000000000006
CTU-13,3.805000000000001,3.9962,3.5962000000000005
CIC-DDoS2019,3.7500000000000004,3.63,3.5500000000000003
AWID,3.3050000000000006,3.2561999999999998,3.1762
ISCX VPN 2012,3.638333333333334,3.5362,3.4562000000000004
CSE-CIC-IDS2018,4.25,4.05,3.9700000000000006
CAIDA DDoS 2007,3.096666666666667,3.4011999999999993,2.8012
NF-UQ-NIDS,4.458333333333334,4.225,4.345000000000001
InSDN,3.805,3.6761999999999997,3.5962000000000005
UGR'16,3.971666666666667,4.1362,3.7362000000000006
MQTT-IoT-IDS2020,3.805,3.6761999999999997,3.5962000000000005
CIC-IDS2018,4.25,4.05,3.9700000000000006
IoT-23,3.971666666666667,4.1362,3.7362000000000006
