Dataset,C1_Recon,C2_InitComp,C3_PrivMis,C4_PersistCtrl,C5_Impact,Source,Regular_Traffic,Basic_Feature,Traffic_Feature,Content_Feature,Release_Year,Meta_Data,Data_Format,Predefine_Split,Benign_Data,Balanced,Labelled,Availability
NSL-KDD,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2009,FALSE,csv,FALSE,TRUE,FALSE,TRUE,Public
KDD'99,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,1999,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
DARPA99,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE,1999,TRUE,pcap,TRUE,TRUE,FALSE,TRUE,Public
CICIDS2017,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2017,TRUE,csv,TRUE,TRUE,FALSE,TRUE,Public
DNS Data,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,FALSE,2021,TRUE,csv,FALSE,TRUE,FALSE,TRUE,Public
CIC Modbus 2023,TRUE,TRUE,FALSE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2023,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
LITNET-2020,TRUE,FALSE,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2020,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
Kyoto 2006+,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,FALSE,2009,TRUE,csv,TRUE,TRUE,FALSE,TRUE,Public
ISCX2012,FALSE,TRUE,FALSE,TRUE,FALSE,3,TRUE,TRUE,TRUE,FALSE,2012,TRUE,csv,FALSE,TRUE,FALSE,TRUE,Public
DEFCON,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,FALSE,2000,TRUE,pcap,TRUE,TRUE,FALSE,TRUE,Public
UNSW-NB15,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2015,TRUE,pcap,TRUE,TRUE,FALSE,TRUE,Public
Bot-IoT,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,TRUE,TRUE,FALSE,2018,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
ToN-IoT,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2020,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CTU-13,TRUE,FALSE,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,FALSE,2013,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CIC-DDoS2019,TRUE,FALSE,FALSE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2019,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
AWID,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE,2015,TRUE,csv,FALSE,TRUE,FALSE,TRUE,Request
ISCX VPN 2012,TRUE,TRUE,FALSE,TRUE,FALSE,3,TRUE,TRUE,TRUE,FALSE,2016,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CSE-CIC-IDS2018,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2018,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CAIDA DDoS 2007,FALSE,FALSE,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2007,TRUE,pcap,FALSE,FALSE,FALSE,TRUE,Request
NF-UQ-NIDS,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2021,TRUE,csv,TRUE,TRUE,FALSE,TRUE,Public
InSDN,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE,2020,TRUE,csv,FALSE,TRUE,FALSE,TRUE,Public
UGR'16,TRUE,FALSE,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2016,TRUE,csv,FALSE,TRUE,FALSE,TRUE,Public
MQTT-IoT-IDS2020,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,TRUE,FALSE,2020,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CIC-IDS2018,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2018,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
IoT-23,TRUE,FALSE,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2020,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
