Dataset,DoS,DDoS,Probe,U2R,R2L,Source,Regular_Traffic,Basic_Feature,Traffic_Feature,Content_Feature,Release_Year,Meta_Data,Data_Format,Predefine_Split,Benign_Data,Balanced,Labelled,Availability
LITNET-2020,TRUE,TRUE,FALSE,FALSE,FALSE,Real,TRUE,TRUE,TRUE,FALSE,2020,FALSE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CIC Modbus 2023,TRUE,FALSE,TRUE,FALSE,FALSE,Emulated,TRUE,TRUE,TRUE,TRUE,2023,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
KDD'99,TRUE,FALSE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,TRUE,FALSE,1999,TRUE,other,TRUE,TRUE,FALSE,TRUE,Public
NSL-KDD,TRUE,FALSE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,TRUE,TRUE,2006,TRUE,other,TRUE,TRUE,FALSE,TRUE,Public
Kyoto,TRUE,FALSE,TRUE,TRUE,TRUE,Real,TRUE,TRUE,FALSE,FALSE,2006,TRUE,other,FALSE,TRUE,FALSE,TRUE,Public
ISCX2012,TRUE,TRUE,FALSE,FALSE,FALSE,Emulated,TRUE,TRUE,FALSE,FALSE,2010,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
CICIDS 2017,TRUE,TRUE,FALSE,FALSE,FALSE,Emulated,TRUE,TRUE,TRUE,TRUE,2017,TRUE,pcap,FALSE,TRUE,FALSE,TRUE,Public
DARPA99,TRUE,FALSE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,TRUE,FALSE,1999,TRUE,pcap,TRUE,TRUE,FALSE,TRUE,Public
DEFCON,FALSE,FALSE,FALSE,FALSE,FALSE,Real,TRUE,TRUE,FALSE,FALSE,2002,TRUE,other,FALSE,TRUE,FALSE,TRUE,Public
DNS Data,FALSE,FALSE,FALSE,FALSE,FALSE,Real,TRUE,TRUE,FALSE,FALSE,2021,TRUE,pcap,TRUE,TRUE,FALSE,TRUE,Public
