Dataset,Attack Coverage,,,,,Provenance Source ,,Feature Diversity,,,Documentation & Metadata,,,Evaluation Readiness,,,Availability
,DoS,DDoS,U2R,R2L,Probe,Regular_Traffic,Source,Basic_Feature,Traffic_Feature,Content_Feature,Release_Year,Meta_Data,Data_Format,Predefine_Split,Balanced,Labelled,Availability
LITNET-2020,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Real,TRUE,TRUE,FALSE,2020,FALSE,pcap,FALSE,FALSE,TRUE,Public
CIC Modbus 2023,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Emulated,TRUE,TRUE,TRUE,2023,TRUE,pcap,FALSE,FALSE,TRUE,Public
HDFS,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Real,TRUE,FALSE,FALSE,2006,TRUE,log,FALSE,FALSE,TRUE,Public
BGL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Real,TRUE,FALSE,FALSE,0,TRUE,log,FALSE,FALSE,TRUE,Public
OpenStack,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Real,TRUE,FALSE,FALSE,2010,TRUE,log,FALSE,FALSE,TRUE,Public
KDD'99,TRUE,FALES,TRUE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,FALSE,1999,TRUE,other,TRUE,FALSE,TRUE,Public
NSL-KDD,TRUE,FALES,TRUE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,TRUE,2006,TRUE,other,TRUE,FALSE,TRUE,Public
Kyoto,TRUE,FALES,TRUE,TRUE,TRUE,TRUE,Real,TRUE,FALSE,FALSE,2006,TRUE,other,FALSE,FALSE,TRUE,Public
ISCX2012,TRUE,TRUE,FALES,FALES,FALES,TRUE,Emulated,TRUE,FALSE,FALSE,2010,TRUE,pcap,FALSE,FALSE,TRUE,Public
CICIDS 2017,TRUE,TRUE,FALES,FALES,FALES,TRUE,Emulated,TRUE,TRUE,TRUE,2017,TRUE,pcap,FALSE,FALSE,TRUE,Public
DARPA99,TRUE,FALES,TRUE,TRUE,TRUE,TRUE,Emulated,TRUE,TRUE,FALSE,1999,TRUE,pcap,TRUE,FALSE,TRUE,Public
DEFCON,FALES,FALES,FALES,FALES,FALES,TRUE,Real,TRUE,FALSE,FALSE,2002,TRUE,other,FALSE,FALSE,TRUE,Public
DNS Data,FALES,FALES,FALES,FALES,FALES,TRUE,Real,TRUE,FALSE,FALSE,2021,TRUE,pcap,TRUE,FALSE,TRUE,Public
