Dataset,Attack Coverage,Provenance Source,Feature Diversity,Documentation & Metadata,Evaluation Readiness,Availability,Overall (Mean)
NSL-KDD,4,3,5.0,3.33,2.5,5,3.8
KDD'99,4,3,5.0,5.0,2.5,5,4.08
DARPA99,4,3,3.33,5.0,3.75,5,4.01
CICIDS2017,5,3,5.0,5.0,3.75,5,4.46
DNS Data,1,5,3.33,5.0,2.5,5,3.64
CIC Modbus 2023,3,3,5.0,5.0,2.5,5,3.92
LITNET-2020,2,5,3.33,5.0,2.5,5,3.8
Kyoto 2006+,5,4,3.33,5.0,3.75,5,4.35
ISCX2012,2,3,3.33,5.0,2.5,5,3.47
DEFCON,2,2,3.33,5.0,3.75,5,3.51
UNSW-NB15,5,3,5.0,5.0,3.75,5,4.46
Bot-IoT,3,3,3.33,5.0,2.5,5,3.64
ToN-IoT,5,3,5.0,5.0,2.5,5,4.25
CTU-13,2,5,3.33,5.0,2.5,5,3.8
CIC-DDoS2019,2,3,5.0,5.0,2.5,5,3.75
AWID,3,3,3.33,5.0,2.5,3,3.3
ISCX VPN 2012,3,3,3.33,5.0,2.5,5,3.64
CSE-CIC-IDS2018,5,3,5.0,5.0,2.5,5,4.25
CAIDA DDoS 2007,1,5,3.33,5.0,1.25,3,3.1
NF-UQ-NIDS,5,3,5.0,5.0,3.75,5,4.46
InSDN,4,3,3.33,5.0,2.5,5,3.8
UGR'16,3,5,3.33,5.0,2.5,5,3.97
MQTT-IoT-IDS2020,4,3,3.33,5.0,2.5,5,3.8
CIC-IDS2018,5,3,5.0,5.0,2.5,5,4.25
IoT-23,3,5,3.33,5.0,2.5,5,3.97
