Dataset,Equal,ProvenanceEmphasis,EvalReadinessEmphasis
NSL-KDD,15,16,13
KDD'99,8,12,9
DARPA99,9,14,5
CICIDS2017,1,2,1
DNS Data,19,13,20
CIC Modbus 2023,12,15,12
LITNET-2020,13,10,13
Kyoto 2006+,4,1,4
ISCX2012,23,23,23
DEFCON,22,24,18
UNSW-NB15,1,2,1
Bot-IoT,19,20,20
ToN-IoT,5,7,6
CTU-13,13,10,13
CIC-DDoS2019,18,19,19
AWID,24,25,24
ISCX VPN 2012,19,20,20
CSE-CIC-IDS2018,5,7,6
CAIDA DDoS 2007,25,22,25
NF-UQ-NIDS,1,2,1
InSDN,15,16,13
UGR'16,10,5,10
MQTT-IoT-IDS2020,15,16,13
CIC-IDS2018,5,7,6
IoT-23,10,5,10
