Dataset,Equal,ProvenanceEmphasis,EvalReadinessEmphasis
LITNET-2020,3.388333333333334,3.6461999999999994,3.1134000000000004
CIC Modbus 2023,3.7783333333333338,3.8137999999999996,3.4410000000000003
HDFS,3.056666666666667,3.3675999999999995,2.8348000000000004
BGL,2.7783333333333338,3.1338,2.6010000000000004
OpenStack,3.056666666666667,3.3675999999999995,2.8348000000000004
KDD'99,4.276666666666667,4.2324,4.1252
NSL-KDD,4.5550000000000015,4.4662,4.359000000000001
Kyoto,3.8900000000000006,4.0676,3.5348
ISCX2012,3.723333333333334,3.7676,3.3948000000000005
CICIDS 2017,4.278333333333334,4.2338,3.8610000000000007
DARPA99,4.276666666666667,4.2324,4.1252
DEFCON,3.8900000000000006,4.0676,3.5348
DNS Data,4.166666666666668,4.3,4.0328
